Day,PV power generation in kW,Wind power generation in kW
2016-12-01 00:00:00-06:00,0.16833333333333336,0.07742547331323349
2016-12-01 01:00:00-06:00,0.06266666666666666,0.1046009906897025
2016-12-01 02:00:00-06:00,0.17699999999999996,0.07464739093619241
2016-12-01 03:00:00-06:00,0.17400000000000002,0.07231754982251118
2016-12-01 04:00:00-06:00,0.09066666666666667,0.07816762969641677
2016-12-01 05:00:00-06:00,0.10100000000000002,0.03486130318287858
2016-12-01 06:00:00-06:00,0.24233333333333337,0.042008533927723794
2016-12-01 07:00:00-06:00,0.19933333333333333,-0.007385420687634571
2016-12-01 08:00:00-06:00,0.23133333333333336,0.04135265083596467
2016-12-01 09:00:00-06:00,0.08266666666666667,0.04931207634166434
2016-12-01 10:00:00-06:00,0.08266666666666667,0.11474137406400589
2016-12-01 11:00:00-06:00,0.07133333333333335,0.22771279505739186
2016-12-01 12:00:00-06:00,0.31833333333333336,0.42916543463122203
2016-12-01 13:00:00-06:00,0.07133333333333335,0.16024814135976997
2016-12-01 14:00:00-06:00,0.35033333333333333,0.2788741247123092
2016-12-01 15:00:00-06:00,0.12733333333333333,0.17756835541009117
2016-12-01 16:00:00-06:00,0.11433333333333333,0.15132404753468795
2016-12-01 17:00:00-06:00,0.324,0.062488654879437465
2016-12-01 18:00:00-06:00,0.21166666666666667,0.09614403904650318
2016-12-01 19:00:00-06:00,0.06799999999999999,0.18756392492116972
2016-12-01 20:00:00-06:00,0.052,0.30597246434543124
2016-12-01 21:00:00-06:00,0.07566666666666667,0.4099446950805218
2016-12-01 22:00:00-06:00,0.08733333333333333,0.5037925015211576
2016-12-01 23:00:00-06:00,0.2743333333333333,0.41184991806244364
