Date,Pr-1 load in kW,Pr-2 load in kW,Pr-3 load in kW,Pr-4 load in kW,Pr-5 load in kW
2016-12-01 00:00:00-06:00,0.36830539304127496,6.990476449262787,71.87388240618812,6.363980185511365,21.80318687478163
2016-12-01 01:00:00-06:00,0.36145390904555796,6.5825567860142105,72.25587289040294,4.044905089992977,20.912926571416044
2016-12-01 02:00:00-06:00,0.3890616202812916,6.129439702511367,72.65606512100504,6.488286987561551,22.42002550420409
2016-12-01 03:00:00-06:00,0.4933023361078999,6.643686732282483,74.38607802108311,6.880653195042048,21.052864439905786
2016-12-01 04:00:00-06:00,0.504304978158193,6.400788877094251,71.84975194978145,4.372830272517183,22.319601580470504
2016-12-01 05:00:00-06:00,0.4597521411163978,6.1259021124221835,68.56175228301935,4.298923735276452,20.80539364621085
2016-12-01 06:00:00-06:00,0.5420833483499539,6.416673240620066,67.48296685293542,3.732033443144674,24.122579856221524
2016-12-01 07:00:00-06:00,0.5702105145743833,11.06534215844998,76.56786287529407,4.22359515656856,30.036306971140476
2016-12-01 08:00:00-06:00,0.6817866052384715,40.83639245398013,96.94207137276905,7.74069531717156,32.71435046958978
2016-12-01 09:00:00-06:00,0.5241817028600082,41.50968135285036,112.17613018334684,6.753461991239676,32.57174265315732
2016-12-01 10:00:00-06:00,0.44951941004219487,36.813385345243795,106.69845168628191,5.775569658480992,33.558526641366875
2016-12-01 11:00:00-06:00,0.40990517552624,24.683358986494298,107.08343553091893,9.416596523131016,31.471841055538285
2016-12-01 12:00:00-06:00,0.44118767244586876,31.27161832109803,115.09258222719393,6.744976791852224,31.413942682330035
2016-12-01 13:00:00-06:00,0.46993485858183737,34.89019979880339,90.26560244728545,8.657836179866536,29.508821628425654
2016-12-01 14:00:00-06:00,0.4078867112305724,21.583190521939482,88.14485995653334,6.620687296962849,30.747267564980188
2016-12-01 15:00:00-06:00,0.3453443649740638,27.369281371900822,96.81276080202673,3.95600737671311,31.221828956348077
2016-12-01 16:00:00-06:00,0.3688818725243897,24.971990298719412,96.89344215310871,3.549857363483796,28.65523298472059
2016-12-01 17:00:00-06:00,0.35762542604234454,19.566083500211864,96.92860653358731,7.810763528843197,25.643323559479704
2016-12-01 18:00:00-06:00,0.49492915859501163,24.210980315361486,79.89617773769751,17.164222650467988,26.757132276914824
2016-12-01 19:00:00-06:00,0.6972886753626226,24.74611261271101,75.4899056124545,20.834971148491313,22.039065998229667
2016-12-01 20:00:00-06:00,0.5706629357239802,24.97666650184122,75.08734617504534,19.45095236958218,21.490998490579816
2016-12-01 21:00:00-06:00,0.6041013998187023,24.717412691331496,72.64596287595771,20.273656315819625,22.51284031197396
2016-12-01 22:00:00-06:00,0.6529070470302696,20.41294171760425,73.88161362618223,18.687188127011332,21.074670312820782
2016-12-01 23:00:00-06:00,0.46176883369832894,11.941915119884026,73.5591426823557,15.230341952639082,22.22041255488884
