Time,Timestamp,PV power generation in kW,Wind power generation in kW
Thu Dec 31 09:00:00 2015,1451548800.0,0.8266111111111112,0.7169166666666666
Thu Dec 31 09:15:00 2015,1451549700.0,0.9022777777777778,0.7509166666666668
Thu Dec 31 09:30:00 2015,1451550600.0,1.1234888888888888,0.7811666666666667
Thu Dec 31 09:45:00 2015,1451551500.0,1.3632444444444445,0.8114166666666667
Thu Dec 31 10:00:00 2015,1451552400.0,1.1662333333333332,0.8424999999999999
Thu Dec 31 10:15:00 2015,1451553300.0,1.5372111111111113,0.8614583333333333
Thu Dec 31 10:30:00 2015,1451554200.0,2.117611111111111,0.8729166666666668
Thu Dec 31 10:45:00 2015,1451555100.0,1.8708555555555557,0.884375
Thu Dec 31 11:00:00 2015,1451556000.0,2.135288888888889,0.9163749999999999
Thu Dec 31 11:15:00 2015,1451556900.0,1.6869666666666667,0.8805000000000001
Thu Dec 31 11:30:00 2015,1451557800.0,2.2518,0.9264583333333333
Thu Dec 31 11:45:00 2015,1451558700.0,1.906233333333333,0.8829166666666667
Thu Dec 31 12:00:00 2015,1451559600.0,1.5175777777777777,0.9294583333333333
Thu Dec 31 12:15:00 2015,1451560500.0,1.9589222222222222,0.8720833333333333
Thu Dec 31 12:30:00 2015,1451561400.0,1.6374333333333333,0.9264166666666668
Thu Dec 31 12:45:00 2015,1451562300.0,2.0014,0.8624166666666667
Thu Dec 31 13:00:00 2015,1451563200.0,2.5250555555555554,0.9158333333333332
Thu Dec 31 13:15:00 2015,1451564100.0,1.9264777777777777,0.8644166666666666
Thu Dec 31 13:30:00 2015,1451565000.0,2.4981444444444443,0.9101666666666667
Thu Dec 31 13:45:00 2015,1451565900.0,1.7109444444444444,0.8645833333333334
Thu Dec 31 14:00:00 2015,1451566800.0,1.4855111111111112,0.9052083333333333
Thu Dec 31 14:15:00 2015,1451567700.0,1.2373777777777777,0.8736666666666667
Thu Dec 31 14:30:00 2015,1451568600.0,1.3223353535353535,0.8995833333333335
Thu Dec 31 14:45:00 2015,1451569500.0,0.9568,0.8724999999999999
Thu Dec 31 15:00:00 2015,1451570400.0,0.8337666666666667,0.896125
Thu Dec 31 15:15:00 2015,1451571300.0,0.7123777777777778,0.8599166666666668
Thu Dec 31 15:30:00 2015,1451572200.0,0.5093666666666666,0.8846666666666666
Thu Dec 31 15:45:00 2015,1451573100.0,0.7338111111111112,0.8427500000000001
Thu Dec 31 16:00:00 2015,1451574000.0,0.39045555555555556,0.8670416666666666
Thu Dec 31 16:15:00 2015,1451574900.0,0.5436698412698413,0.8291249999999999
Thu Dec 31 16:30:00 2015,1451575800.0,0.37705555555555564,0.8145833333333333
Thu Dec 31 16:45:00 2015,1451576700.0,0.2930333333333333,0.8000416666666667
Thu Dec 31 17:00:00 2015,1451577600.0,0.16164444444444445,0.77475
Thu Dec 31 17:15:00 2015,1451578500.0,0.07200238095238096,0.7547916666666666
Thu Dec 31 17:30:00 2015,1451579400.0,0.03166666666666667,0.7199999999999999
Thu Dec 31 17:45:00 2015,1451580300.0,0.014020512820512821,0.7002083333333333
Thu Dec 31 18:00:00 2015,1451581200.0,-0.012655555555555554,0.6559166666666666
Thu Dec 31 18:15:00 2015,1451582100.0,-0.011470370370370372,0.70025
Thu Dec 31 18:30:00 2015,1451583000.0,-0.0057888888888888886,0.6562083333333333
Thu Dec 31 18:45:00 2015,1451583900.0,-0.006428282828282828,0.7123333333333334
Thu Dec 31 19:00:00 2015,1451584800.0,-0.0035888888888888884,0.6777916666666667
Thu Dec 31 19:15:00 2015,1451585700.0,-0.004197435897435897,0.7162083333333333
Thu Dec 31 19:30:00 2015,1451586600.0,-0.0034750000000000002,0.7390833333333333
Thu Dec 31 19:45:00 2015,1451587500.0,-0.0035629629629629627,0.7619583333333334
Thu Dec 31 20:00:00 2015,1451588400.0,-0.004361111111111111,0.7920833333333333
Thu Dec 31 20:15:00 2015,1451589300.0,-0.0036878787878787873,0.7634166666666666
Thu Dec 31 20:30:00 2015,1451590200.0,-0.004188888888888889,0.795875
Thu Dec 31 20:45:00 2015,1451591100.0,-0.004411111111111111,0.7565
Thu Dec 31 21:00:00 2015,1451592000.0,-0.003933333333333334,0.7926666666666667
Thu Dec 31 21:15:00 2015,1451592900.0,-0.004807407407407407,0.7439166666666667
Thu Dec 31 21:30:00 2015,1451593800.0,-0.004369230769230769,0.7903333333333333
Thu Dec 31 21:45:00 2015,1451594700.0,-0.0048905982905982906,0.73875
Thu Dec 31 22:00:00 2015,1451595600.0,-0.004997222222222222,0.7753749999999999
Thu Dec 31 22:15:00 2015,1451596500.0,-0.005011111111111111,0.738
Thu Dec 31 22:30:00 2015,1451597400.0,-0.004922222222222223,0.7188333333333333
Thu Dec 31 22:45:00 2015,1451598300.0,-0.004933333333333334,0.695
Thu Dec 31 23:00:00 2015,1451599200.0,-0.005036752136752137,0.6779583333333333
Thu Dec 31 23:15:00 2015,1451600100.0,-0.004933333333333334,0.656875
Thu Dec 31 23:30:00 2015,1451601000.0,-0.0051222222222222225,0.6489583333333333
Thu Dec 31 23:45:00 2015,1451601900.0,-0.005166666666666666,0.627875
