Date,Pr-1 load in kW,Pr-2 load in kW,Pr-3 load in kW,Pr-4 load in kW,Pr-5 load in kW
2016-12-01T00:00:00.000000000,0.5104260062964503,7.006570702649415,77.98928051706149,6.048966184346984,21.3
2016-12-01T01:00:00.000000000,0.6469604086812731,6.581635079051109,77.9119296674234,3.6490723698985046,20.400000000000002
2016-12-01T02:00:00.000000000,0.5995072263013211,6.257443266025896,78.12372770593585,5.9324926214417495,22.433333333333337
2016-12-01T03:00:00.000000000,0.5759780232444801,6.697983426870625,78.01139025764616,6.427501268853767,20.733333333333334
2016-12-01T04:00:00.000000000,0.5469827143897441,6.3383648962446495,75.99802107483656,3.7892280850561715,22.900000000000002
2016-12-01T05:00:00.000000000,0.6220217420144828,6.152338228859757,75.26046166986383,3.7162924332648877,20.366666666666664
2016-12-01T06:00:00.000000000,0.3730288903526284,6.437536124032998,73.27181701817788,3.2083747228438155,23.200000000000003
2016-12-01T07:00:00.000000000,0.3616194746839216,10.897692358984683,77.86030059950112,4.195941293693092,29.0
2016-12-01T08:00:00.000000000,0.39292041358653323,39.259571235313786,97.28091031666463,7.6554527946044,30.36666666666667
2016-12-01T09:00:00.000000000,0.4859772258625929,38.49471113497811,114.2582256548862,6.707154002758486,32.3
2016-12-01T10:00:00.000000000,0.5025305579129307,35.08224741755543,109.93619182263724,5.702923321066416,34.5
2016-12-01T11:00:00.000000000,0.4521161939762662,24.627644754464754,114.45926753944944,9.335097391192285,30.066666666666666
2016-12-01T12:00:00.000000000,0.5432310408581977,28.536482227029985,116.46196786756144,6.587417928842163,32.36666666666667
2016-12-01T13:00:00.000000000,0.5704098552106975,33.362024225775954,93.06223248328435,8.093084754962355,30.033333333333335
2016-12-01T14:00:00.000000000,0.6803898341171101,21.85343316844961,96.33598282401444,6.552673447406798,31.766666666666666
2016-12-01T15:00:00.000000000,0.5279636086787123,27.08735755514863,100.61515246889145,3.61482871348363,29.7
2016-12-01T16:00:00.000000000,0.4540871544919621,25.053005049018424,104.08676880525017,3.3848001473114078,27.900000000000002
2016-12-01T17:00:00.000000000,0.41841544790491275,19.517175636085042,99.51483701399154,8.103484672073197,23.566666666666663
2016-12-01T18:00:00.000000000,0.44564802456108704,25.532157890034256,79.8014914231668,17.48943178650231,26.599999999999998
2016-12-01T19:00:00.000000000,0.46957623819959543,25.335313659399535,77.56544063431177,21.233687667390605,22.233333333333334
2016-12-01T20:00:00.000000000,0.41337875333726026,24.76221852109054,79.82608974642302,19.98660762799404,23.03333333333333
2016-12-01T21:00:00.000000000,0.3489732319050616,24.8476510341426,77.49310005150518,20.434215154923606,25.03333333333333
2016-12-01T22:00:00.000000000,0.37118404503309355,20.573695340404043,78.98390055486702,18.490240215964096,21.966666666666665
2016-12-01T23:00:00.000000000,0.35843445987720074,11.541285858315966,77.43892774227427,15.115866444926807,23.833333333333332
