Date,Prosumer-1 power consumption in kW,Prosumer-2 power consumption in kW,Prosumer-3 power consumption in kW,Prosumer-4 power consumption in kW,Prosumer-5 power consumption in kW
31.12.2016 00:00,0.4083333333333334,6.316666666666666,67.0,6.216666666666668,31.566666666666663
31.12.2016 01:00,0.3383333333333334,6.050000000000001,65.0,6.483333333333334,28.13333333333333
31.12.2016 02:00,0.66,6.016666666666667,67.66666666666667,6.183333333333334,32.43333333333333
31.12.2016 03:00,0.4016666666666666,6.45,67.0,6.25,31.799999999999994
31.12.2016 04:00,0.6666666666666666,6.116666666666666,64.66666666666667,6.199999999999999,28.733333333333334
31.12.2016 05:00,0.4433333333333333,6.3500000000000005,67.33333333333333,6.45,32.36666666666667
31.12.2016 06:00,0.57,5.949999999999999,63.333333333333336,7.233333333333334,28.7
31.12.2016 07:00,0.6716666666666667,6.199999999999999,70.33333333333333,14.566666666666665,36.86666666666667
31.12.2016 08:00,0.5766666666666667,10.899999999999999,87.33333333333333,13.333333333333334,35.53333333333333
31.12.2016 09:00,0.5233333333333333,11.233333333333334,114.66666666666667,11.833333333333334,38.666666666666664
31.12.2016 10:00,0.5616666666666666,7.033333333333332,104.66666666666667,11.449999999999998,41.5
31.12.2016 11:00,0.6116666666666667,7.483333333333333,122.0,12.366666666666667,38.7
31.12.2016 12:00,0.44166666666666665,10.866666666666667,113.0,11.633333333333335,39.833333333333336
31.12.2016 13:00,0.4683333333333333,11.4,100.0,11.450000000000001,41.56666666666667
31.12.2016 14:00,0.6183333333333333,7.183333333333334,125.0,11.683333333333332,37.2
31.12.2016 15:00,0.4083333333333334,6.883333333333334,102.33333333333333,12.533333333333333,38.96666666666667
31.12.2016 16:00,0.47833333333333333,7.266666666666667,107.66666666666667,11.416666666666666,35.0
31.12.2016 17:00,0.6333333333333334,6.916666666666665,101.66666666666667,12.133333333333335,33.6
31.12.2016 18:00,0.6433333333333333,10.883333333333333,81.0,13.83333333333333,30.866666666666664
31.12.2016 19:00,0.8333333333333334,7.216666666666666,74.33333333333333,13.549999999999999,30.0
31.12.2016 20:00,0.535,6.833333333333335,70.33333333333333,13.366666666666665,33.36666666666667
31.12.2016 21:00,0.6749999999999999,6.966666666666666,74.0,14.25,30.33333333333334
31.12.2016 22:00,0.4100000000000001,10.216666666666667,76.66666666666667,12.516666666666666,33.0
31.12.2016 23:00,0.48333333333333334,9.8,72.33333333333333,6.666666666666667,29.966666666666665
